HalfHourInterval,RegionID,Percentile,Value
26/06/2025 13:00,VIC1,P95,660.5378
26/06/2025 13:00,VIC1,P5,295.90718
26/06/2025 13:00,VIC1,P50,522.89771
26/06/2025 13:30,VIC1,P75,526.13337
26/06/2025 13:30,VIC1,P25,520.25326
26/06/2025 13:30,VIC1,P90,622.25525
26/06/2025 13:30,VIC1,P10,517.35719
26/06/2025 13:30,VIC1,P95,660.98784
26/06/2025 13:30,VIC1,P5,258.51919
26/06/2025 13:30,VIC1,P50,523.17833
26/06/2025 14:00,VIC1,P75,537.73514
26/06/2025 14:00,VIC1,P25,520.43337
26/06/2025 14:00,VIC1,P90,625.57282
26/06/2025 14:00,VIC1,P10,517.53552
26/06/2025 14:00,VIC1,P95,690.48296
26/06/2025 14:00,VIC1,P5,258.40277
26/06/2025 14:00,VIC1,P50,534.82739
26/06/2025 14:30,VIC1,P75,524.27734
26/06/2025 14:30,VIC1,P25,518.41765
26/06/2025 14:30,VIC1,P90,527.84585
26/06/2025 14:30,VIC1,P10,332.47198
26/06/2025 14:30,VIC1,P95,676.75686
26/06/2025 14:30,VIC1,P5,216.21613
26/06/2025 14:30,VIC1,P50,521.33286
26/06/2025 15:00,VIC1,P75,561.32806
26/06/2025 15:00,VIC1,P25,522.01217
26/06/2025 15:00,VIC1,P90,565.18793
26/06/2025 15:00,VIC1,P10,335.10419
26/06/2025 15:00,VIC1,P95,911.57321
26/06/2025 15:00,VIC1,P5,222.64918
26/06/2025 15:00,VIC1,P50,536.39589
26/06/2025 15:30,VIC1,P75,567.10779
26/06/2025 15:30,VIC1,P25,527.93645
26/06/2025 15:30,VIC1,P90,902.02557
26/06/2025 15:30,VIC1,P10,524.36659
26/06/2025 15:30,VIC1,P95,7771.58687
26/06/2025 15:30,VIC1,P5,255.06547
26/06/2025 15:30,VIC1,P50,532.98811
26/06/2025 16:00,VIC1,P75,893.73599
26/06/2025 16:00,VIC1,P25,600.82
26/06/2025 16:00,VIC1,P90,3383.09333
26/06/2025 16:00,VIC1,P10,516.87988
26/06/2025 16:00,VIC1,P95,17499.93
26/06/2025 16:00,VIC1,P5,355.34382
26/06/2025 16:00,VIC1,P50,892.84091
26/06/2025 16:30,VIC1,P75,1023.15314
26/06/2025 16:30,VIC1,P25,683.41
26/06/2025 16:30,VIC1,P90,1057.15699
26/06/2025 16:30,VIC1,P10,600.82
26/06/2025 16:30,VIC1,P95,17499.92
26/06/2025 16:30,VIC1,P5,333.87765
26/06/2025 16:30,VIC1,P50,744.50949
26/06/2025 17:00,VIC1,P75,17499.92
26/06/2025 17:00,VIC1,P25,14807.11217
26/06/2025 17:00,VIC1,P90,17499.95
26/06/2025 17:00,VIC1,P10,10316.50664
26/06/2025 17:00,VIC1,P95,17499.98
26/06/2025 17:00,VIC1,P5,1236.13945
26/06/2025 17:00,VIC1,P50,17499.89
26/06/2025 17:30,VIC1,P75,17500
26/06/2025 17:30,VIC1,P25,17499.96017
26/06/2025 17:30,VIC1,P90,17500
26/06/2025 17:30,VIC1,P10,17499.93
26/06/2025 17:30,VIC1,P95,17500
26/06/2025 17:30,VIC1,P5,17499.89
26/06/2025 17:30,VIC1,P50,17500
26/06/2025 18:00,VIC1,P75,17500
26/06/2025 18:00,VIC1,P25,17500
26/06/2025 18:00,VIC1,P90,17500
26/06/2025 18:00,VIC1,P10,17500
26/06/2025 18:00,VIC1,P95,17500
26/06/2025 18:00,VIC1,P5,17499.96017
26/06/2025 18:00,VIC1,P50,17500
26/06/2025 18:30,VIC1,P75,17500
26/06/2025 18:30,VIC1,P25,17500
26/06/2025 18:30,VIC1,P90,17500
26/06/2025 18:30,VIC1,P10,17500
26/06/2025 18:30,VIC1,P95,17500
26/06/2025 18:30,VIC1,P5,17499.96017
26/06/2025 18:30,VIC1,P50,17500
26/06/2025 19:00,VIC1,P75,17500
26/06/2025 19:00,VIC1,P25,17500
26/06/2025 19:00,VIC1,P90,17500
26/06/2025 19:00,VIC1,P10,17500
26/06/2025 19:00,VIC1,P95,17500
26/06/2025 19:00,VIC1,P5,17499.94
26/06/2025 19:00,VIC1,P50,17500
26/06/2025 19:30,VIC1,P75,17500
26/06/2025 19:30,VIC1,P25,17500
26/06/2025 19:30,VIC1,P90,17500
26/06/2025 19:30,VIC1,P10,17499.97
26/06/2025 19:30,VIC1,P95,17500
26/06/2025 19:30,VIC1,P5,17499.89
26/06/2025 19:30,VIC1,P50,17500
26/06/2025 20:00,VIC1,P75,17500
26/06/2025 20:00,VIC1,P25,17499.97
26/06/2025 20:00,VIC1,P90,17500
26/06/2025 20:00,VIC1,P10,17499.92
26/06/2025 20:00,VIC1,P95,17500
