Participant,Station Name,Region,Dispatch Type,Category,Classification,Fuel Source - Primary,Fuel Source - Descriptor,Technology Type - Primary,Technology Type - Descriptor,Units,Aggregation,DUID
Starfish Hill Wind Farm Pty Ltd,Starfish Hill Wind Farm,SA1,Generating Unit,Market,Non-Scheduled*,Wind,Wind,Renewable,Wind - Onshore,Jan-23,Y,STARHLWF
Stockyard Hill Wind Farm Pty Ltd,Stockyard Hill Wind Farm,VIC1,Generating Unit,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,1-149,Y,STOCKYD1
Stubbo 1 Pty Ltd as The Trustee for Stubbo 1 Solar Project Trust,Stubbo Solar Farm 1,NSW1,Generating Unit,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Flat panel,1-156,Y,STUBSF1
Stubbo 1 Pty Ltd as The Trustee for Stubbo 1 Solar Project Trust,Stubbo Solar Farm 2,NSW1,Generating Unit,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Flat panel,1-152,Y,STUBSF2
Sun Metals Corporation Pty Ltd,Sun Metals Solar Farm,QLD1,Generating Unit,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Flat panel,Jan-52,Y,SMCSF1
Sunraysia Solar Project Pty Ltd As Trustee For Sunraysia Solar Project Trust,SUNRAYSIA SF,NSW1,Generating Unit,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Flat panel,1-104,Y,SUNRSF1
Suntop SF Pty Ltd as trustee for the Suntop Asset Trust,Suntop Solar Farm,NSW1,Generating Unit,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,1-110,Y,SUNTPSF1
Susan River Solar Pty Ltd as Trustee for Susan River Solar Trust,Susan River Solar Farm,QLD1,Generating Unit,Market ,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Flat panel,Jan-49,N,SRSF1
CleanCo Queensland Limited,Swanbank E Power Station ,QLD1,Generating Unit,Market,Scheduled,Fossil,Natural Gas,Combustion,Combined Cycle Gas Turbine (CCGT),1,Y,SWAN_E
MP Tableland Green Power Pty Ltd,Tableland Mill Unit 2,QLD1,Generating Unit,Non-Market,Non-Scheduled,Renewable/ Biomass / Waste,Bagasse,Combustion,Steam Super Critical,1,N,TABMILL2
